iter	RMSE
157	10.72437211
158	10.65993693
159	10.586984
160	10.53071308
161	10.46482766
162	10.39598817
163	10.32004102
164	10.24342684
165	10.18089186
166	10.11879326
167	10.05846125
168	9.986926699
169	9.927219675
170	9.863079886
171	9.808768208
172	9.740483565
173	9.687193708
174	9.621729752
175	9.555975569
176	9.498636628
177	9.439097742
178	9.382153435
179	9.320372258
180	9.265184292
181	9.208758565
182	9.159453621
183	9.096939492
184	9.038076352
185	8.98271124
186	8.926238462
187	8.870356198
188	8.819394934
189	8.7664643
190	8.712240992
191	8.668786708
192	8.616762406
193	8.566643544
194	8.512971584
195	8.469850303
196	8.414992989
197	8.366698882
198	8.320022063
199	8.268403956
200	8.227235328
201	8.183333781
202	8.137342073
203	8.099515477
204	8.057898105
205	8.007194615
206	7.964568999
207	7.916643138
208	7.869556655
209	7.82647651
210	7.783883253
211	7.737372324
212	7.691803394
213	7.643504443
214	7.600429553
215	7.561431163
216	7.525009094
217	7.484562024
218	7.448337978
219	7.409762085
220	7.372666957
221	7.336655854
222	7.298676312
223	7.252998386
224	7.217492797
225	7.175437148
226	7.134704077
227	7.101857341
228	7.068238038
229	7.031589594
230	6.996022427
231	6.961274365
232	6.922626667
233	6.888241332
234	6.853153096
235	6.821795476
236	6.785722919
237	6.748761284
238	6.715233645
239	6.677717567
240	6.644655461
241	6.612288124
242	6.577467857
243	6.54865714
244	6.515702636
245	6.483548255
246	6.452066693
247	6.423814417
248	6.395198821
249	6.367607857
250	6.340038533
251	6.312875399
252	6.28127876
253	6.254914335
254	6.227805051
255	6.201305627
256	6.175508139
257	6.150074
258	6.125249847
259	6.095856418
260	6.071625942
261	6.046511231
262	6.017729257
263	5.99408948
264	5.967875065
265	5.941606761
266	5.915126696
267	5.889514844
268	5.866186249
269	5.842010857
270	5.817224945
271	5.792613431
272	5.767422096
273	5.742506897
274	5.718419142
275	5.694489682
276	5.674839406
277	5.649316044
278	5.627319124
279	5.608229049
280	5.586597779
281	5.567459912
282	5.547222267
283	5.525054245
284	5.503496701
285	5.482243999
286	5.458005602
287	5.438022657
288	5.416661497
289	5.398243269
290	5.376838228
291	5.356579613
292	5.338555335
293	5.321344669
294	5.297847494
295	5.281694963
296	5.263471704
297	5.247947856
298	5.228274139
299	5.203915846
300	5.184037638
301	5.167986786
302	5.147834026
303	5.132654872
304	5.115376009
305	5.099451739
306	5.08733899
307	5.073179006
308	5.054393463
309	5.039028041
310	5.022735252
311	5.003987361
312	4.990162419
313	4.971050006
314	4.954217053
315	4.940211654
316	4.921620752
317	4.904256616
318	4.888025479
319	4.873400236
320	4.861293118
321	4.845583495
322	4.830872824
323	4.815834301
324	4.801494028
325	4.785992587
326	4.77303509
327	4.761660885
328	4.745237963
329	4.730881658
330	4.711469985
331	4.697361655
332	4.685104763
333	4.676055712
334	4.661760195
335	4.645938364
336	4.632885044
337	4.619545315
338	4.607210354
339	4.593064191
340	4.58063567
341	4.566558342
342	4.552222096
343	4.542844742
344	4.530759931
345	4.518181897
346	4.505120394
347	4.494933582
348	4.482165421
349	4.471480362
350	4.459945941
351	4.447046484
352	4.433151067
353	4.421752265
354	4.412032976
355	4.401786297
356	4.385441941
357	4.371125177
358	4.355182447
359	4.345493909
360	4.332558135
361	4.321921794
362	4.309973708
363	4.301282498
364	4.290347137
365	4.279616962
366	4.26972333
367	4.259253642
368	4.250169622
369	4.239171693
370	4.224316172
371	4.213976628
372	4.204969753
373	4.191261192
374	4.180426977
375	4.166369602
376	4.156856496
377	4.146362155
378	4.13747608
379	4.127467228
380	4.117120158
381	4.106223491
382	4.098402508
383	4.089405613
384	4.079952679
385	4.07084594
386	4.057160357
387	4.045853645
388	4.037051943
389	4.026862581
390	4.017691452
391	4.005969944
392	3.99695368
393	3.987705495
394	3.976178388
395	3.964425605
396	3.95572565
397	3.945463614
398	3.937051613
399	3.927807926
400	3.91857801
401	3.910707732
402	3.901120892
403	3.889139207
404	3.880147525
405	3.870632271
406	3.86285875
407	3.853874054
408	3.842116201
409	3.835603364
410	3.826321128
411	3.818812036
412	3.809715035
413	3.800179757
414	3.793464462
415	3.784654985
416	3.774888517
417	3.766383026
418	3.758576001
419	3.750736022
420	3.741071623
421	3.734134978
422	3.726300742
423	3.71669777
424	3.709431612
425	3.698661366
426	3.691423851
427	3.681483
428	3.672961858
429	3.664655929
430	3.656185054
431	3.647708861
432	3.639113495
433	3.630652306
434	3.623853556
435	3.616589745
436	3.611736415
437	3.603055831
438	3.595402843
439	3.586925543
440	3.579691894
441	3.57263388
442	3.567247634
443	3.55770335
444	3.550489951
445	3.544963476
446	3.537839837
447	3.531341945
448	3.524044797
449	3.516546693
450	3.508763788
451	3.501831194
452	3.496040668
453	3.490330334
454	3.483077937
455	3.477674985
456	3.468951719
457	3.461269159
458	3.456586267
459	3.450064175
460	3.444184877
461	3.43910194
462	3.432515973
463	3.426511667
464	3.419693102
465	3.413478724
466	3.406671411
467	3.398403923
468	3.392790349
469	3.387657616
470	3.38205082
471	3.377969471
472	3.372660057
473	3.366737518
474	3.362656641
475	3.355770331
476	3.350088589
477	3.344144256
478	3.339271371
479	3.333590116
480	3.328189906
481	3.322778704
482	3.315139288
483	3.310237928
484	3.303580787
485	3.298850436
486	3.294200714
487	3.289267749
488	3.28376279
489	3.27739567
490	3.272582476
491	3.266836658
492	3.260550564
493	3.255356709
494	3.250481283
495	3.246096644
496	3.240141669
497	3.233652443
498	3.228049226
499	3.224989473
500	3.219481445
501	3.214387068
502	3.208230521
503	3.202579584
504	3.196499137
505	3.189706715
506	3.184411766
507	3.179617492
508	3.175136963
509	3.168497407
510	3.163240083
511	3.158988254
512	3.15355585
513	3.149224982
514	3.143780219
515	3.138520172
516	3.1325975
517	3.128188694
518	3.122479555
519	3.117407918
520	3.112772439
521	3.109435867
522	3.104180002
523	3.099549624
524	3.095746739
525	3.091182609
526	3.085840909
527	3.081035887
528	3.075888645
529	3.070871331
530	3.066538716
531	3.06107057
532	3.056556343
533	3.051373538
534	3.047200109
535	3.041963221
536	3.037041309
537	3.033626906
538	3.028522987
539	3.023101368
540	3.019263658
541	3.015151126
542	3.009808024
543	3.004698611
544	3.000852304
545	2.996736546
546	2.991632697
547	2.987906644
548	2.984057842
549	2.979099712
550	2.975205322
551	2.970467477
552	2.966233557
553	2.962240989
554	2.958913446
555	2.954968322
556	2.951526095
557	2.947845409
558	2.943934968
559	2.938572027
560	2.935085992
561	2.932251597
