iter	RMSE
0	36.69437114
1	36.37050061
2	36.06437692
3	35.75788402
4	35.46563543
5	35.14869409
6	34.82764759
7	34.52173111
8	34.21962277
9	33.92139244
10	33.62344144
11	33.33398937
12	33.03434092
13	32.748953
14	32.46337103
15	32.2048621
16	31.93600256
17	31.64753082
18	31.37974908
19	31.10964942
20	30.82743491
21	30.57240246
22	30.31940663
23	30.06171307
24	29.79162541
25	29.5286071
26	29.29014822
27	29.03111784
28	28.78904698
29	28.54702751
30	28.31572463
31	28.08913068
32	27.84933537
33	27.61872323
34	27.38613065
35	27.16550843
36	26.94717654
37	26.72338699
38	26.49923965
39	26.28441574
40	26.07465706
41	25.83596254
42	25.62054192
43	25.39685457
44	25.18456509
45	24.98268599
46	24.77597904
47	24.57626487
48	24.37787665
49	24.18093986
50	23.98251852
51	23.7858329
52	23.60535792
53	23.41605386
54	23.22409992
55	23.0333909
56	22.85229317
57	22.67234113
58	22.46846845
59	22.2727424
60	22.09532042
61	21.91815677
62	21.73613387
63	21.57434263
64	21.39060303
65	21.21630512
66	21.04054173
67	20.86508834
68	20.70613971
69	20.53794418
70	20.37571444
71	20.21581281
72	20.0734995
73	19.9236446
74	19.76560432
75	19.6049484
76	19.44975176
77	19.31258721
78	19.17360633
79	19.0288876
80	18.88693246
81	18.74904398
82	18.60354708
83	18.45701486
84	18.30585947
85	18.17135751
86	18.02982975
87	17.89123363
88	17.76046192
89	17.61764823
90	17.48784604
91	17.35453669
92	17.22536176
93	17.0921546
94	16.96735325
95	16.82948967
96	16.71555611
97	16.5821307
98	16.45495049
99	16.32466086
100	16.20370365
101	16.07476623
102	15.94738082
103	15.82419686
104	15.69883246
105	15.57076315
106	15.45130181
107	15.33025485
108	15.21500187
109	15.08767547
110	14.96500378
111	14.85970854
112	14.75656832
113	14.64366045
114	14.53102901
115	14.42600954
116	14.32180505
117	14.21655484
118	14.11268349
119	13.99461049
120	13.88536925
121	13.7813294
122	13.66689003
123	13.56603683
124	13.47188361
125	13.37098735
126	13.26342822
127	13.17057054
128	13.07140519
129	12.97131551
130	12.87693812
131	12.78116131
132	12.69160986
133	12.6104265
134	12.5114577
135	12.42685835
136	12.33713637
137	12.26157595
138	12.1814375
139	12.08797029
140	12.00771501
141	11.93293859
142	11.85992996
143	11.77775704
144	11.70808599
145	11.63779688
146	11.55461482
147	11.47885959
148	11.39564772
149	11.32417003
150	11.24461982
151	11.16580887
152	11.09948235
153	11.01794561
154	10.94091485
155	10.86746219
156	10.79757517
